BJD RV eRV FWHM BIS Sind eSind Halpha eHalpha
2458374.87145 10891.49 0.32 8728.46 -0.0368 0.155662 4.1e-05 0.190068 1.8e-05
2458374.873361 10891.59 0.27 8730.14 -0.0371 0.156385 3e-05 0.189734 1.4e-05
2458374.875264 10890.63 0.26 8730.86 -0.0362 0.157675 2.9e-05 0.190253 1.4e-05
2458374.883539 10890.94 0.25 8727.14 -0.0364 0.158174 2.6e-05 0.190244 1.3e-05
2458374.885487 10891.75 0.25 8729.75 -0.0367 0.157955 2.7e-05 0.18999 1.3e-05
2458374.88745 10890.44 0.25 8728.48 -0.0362 0.15803 2.6e-05 0.190102 1.3e-05
2458374.889488 10892.02 0.23 8728.83 -0.0365 0.158587 2.3e-05 0.190275 1.1e-05
2458374.891436 10891.41 0.23 8727.63 -0.0372 0.158904 2.2e-05 0.189959 1.1e-05
2458421.784689 10943.85 0.19 8722.83 -0.0478 0.160605 1.8e-05 0.189782 9e-06
2458421.78665 10943.75 0.2 8724.29 -0.0482 0.160399 1.9e-05 0.189852 9e-06
2458421.7886 10942.88 0.2 8724.14 -0.0477 0.160464 1.9e-05 0.19033 9e-06
2458421.790528 10944.42 0.21 8722.22 -0.0478 0.16024 2.2e-05 0.190253 1e-05
2458421.79251 10942.83 0.2 8724.3 -0.0473 0.160781 2e-05 0.189731 1e-05
2458421.794467 10944.14 0.19 8723.43 -0.048 0.160599 1.8e-05 0.19 9e-06
2458422.84864 10945.82 0.23 8723.62 -0.0482 0.160193 2.6e-05 0.18995 1.2e-05
2458422.85058 10944.44 0.23 8727.56 -0.0475 0.159991 2.5e-05 0.189893 1.1e-05
2458422.852534 10945.73 0.22 8723.26 -0.0487 0.159621 2.4e-05 0.190347 1.1e-05
2458422.854464 10944.62 0.22 8725.19 -0.048 0.160634 2.3e-05 0.190319 1.1e-05
2458422.856356 10945.64 0.23 8724.14 -0.048 0.16023 2.6e-05 0.190295 1.2e-05
2458422.858326 10944.76 0.24 8725.11 -0.0477 0.15993 2.7e-05 0.190455 1.2e-05
2458424.813795 10945.9 0.19 8724.2 -0.0473 0.159701 1.8e-05 0.190291 9e-06
2458424.815708 10943.63 0.2 8725.25 -0.0476 0.160082 1.9e-05 0.190081 1e-05
2458424.817657 10947.35 0.21 8723.01 -0.0489 0.159472 2.1e-05 0.190333 1e-05
2458424.819617 10944.91 0.2 8727.08 -0.0486 0.160319 1.9e-05 0.189962 1e-05
2458424.821571 10944.39 0.19 8722.56 -0.0486 0.159821 1.8e-05 0.190148 9e-06
2458424.823501 10946.12 0.19 8726.67 -0.0475 0.16087 1.7e-05 0.189852 9e-06
2458426.777649 10943.71 0.3 8723.86 -0.0484 0.156921 4e-05 0.190234 1.6e-05
2458426.779718 10943.46 0.36 8724.55 -0.0474 0.156244 5.3e-05 0.190286 2e-05
2458426.781666 10942.78 0.29 8725.56 -0.0478 0.15756 3.7e-05 0.190495 1.5e-05
2458426.783602 10944.26 0.26 8723.94 -0.048 0.158638 3.1e-05 0.189941 1.4e-05
2458426.785543 10942.41 0.24 8725.8 -0.0479 0.158599 2.8e-05 0.190041 1.2e-05
2458426.787526 10943.33 0.24 8724.39 -0.0481 0.158647 2.8e-05 0.189983 1.2e-05
2458432.627967 10938.56 0.25 8725.11 -0.0475 0.159216 2.9e-05 0.190335 1.2e-05
2458432.629877 10939.34 0.24 8724.26 -0.0482 0.158854 2.9e-05 0.190051 1.2e-05
2458432.631839 10939.23 0.26 8723.28 -0.047 0.158729 3.2e-05 0.190561 1.3e-05
2458432.633696 10939.67 0.26 8725.39 -0.0472 0.158747 3.1e-05 0.190441 1.3e-05
2458432.635683 10940.66 0.27 8723.79 -0.0462 0.158974 3.5e-05 0.190641 1.4e-05
2458432.637589 10938.68 0.3 8723.14 -0.046 0.157675 4.1e-05 0.190676 1.6e-05
2458436.756332 10941.26 0.35 8722.94 -0.0476 0.156801 4.9e-05 0.19005 2e-05
2458436.75844 10941.8 0.38 8720.62 -0.0477 0.158168 5.6e-05 0.190671 2.2e-05
2458436.760186 10940.98 0.33 8722.76 -0.0488 0.157964 4.4e-05 0.191091 1.8e-05
2458436.762168 10941.53 0.27 8722.26 -0.0464 0.158801 3.2e-05 0.190363 1.4e-05
2458436.76415 10939.78 0.29 8724.16 -0.0474 0.158418 3.5e-05 0.190713 1.5e-05
