BJD RV_mlc e_RV_mlc FWHM_DRS BIS CONTRAST_DRS dLW Halpha MLCRX DLW NAD1 NAD2
2457298.85325506 -91.7851193603815 1.37910825147962 7.68564162577273 0.00812837843445458 41.1306806529316 13.9846873191498 0.404720643426011 16.8747697567603 13.9846873191498 0.355098294096783 0.478047230749459
2457298.85824647 -91.6642566392822 1.34570983079056 7.68417455817469 0.00827870186414081 41.1304309422713 13.8417909944341 0.403793320857202 16.8312006809195 13.8417909944341 0.355625202773654 0.478518920644964
2457327.75581989 -92.0867916747478 0.963679878894428 7.68699302969179 0.00891231751392674 41.1125270671814 15.3373583267175 0.407449325375317 -2.2631397110553 15.3373583267175 0.34934905882369 0.479123917178821
2457372.70513863 -99.1750092360786 0.822237016320699 7.68245970718769 0.00940628966617751 41.1238513103718 13.0054808977466 0.404239041054324 -7.40157135915097 13.0054808977466 0.354516889150842 0.485662553211455
2457372.70900456 -99.3179976260926 0.889478698703596 7.68219117974855 0.0117729728307108 41.1212753659649 14.2463103402847 0.404642199663029 8.09213691816382 14.2463103402847 0.354434707104434 0.485319237131778
2457372.71276609 -100.929135795631 0.821401036167679 7.68312552622879 0.010377789678623 41.1287067535475 12.5463696970089 0.404465116137024 2.3532946005786 12.5463696970089 0.354100894487274 0.486009751042028
2457423.59177784 -102.660860684271 0.905980308598605 7.67960926721576 0.0113378852597208 41.1119935800394 12.7287312538771 0.404572499166785 6.95404954704098 12.7287312538771 0.361241006283802 0.480897690795615
2457423.59792094 -102.775510360359 0.779896861335845 7.67818856979028 0.0115405493059324 41.1181209322783 12.4249579164185 0.405086363384744 -2.41221951250228 12.4249579164185 0.361217941448298 0.481404964443597
2457424.58664504 -101.796984248967 1.02770865170941 7.68144197419957 0.0103928068274044 41.10681260715 15.6594430948223 0.404694942977105 5.80444919619268 15.6594430948223 0.361711284888923 0.477659406018535
2457424.59237438 -101.979569826265 1.05260720023931 7.68163479550501 0.0113415800958059 41.0970199003838 16.5292840280669 0.405252108044914 11.8421128052697 16.5292840280669 0.362023875411282 0.4781147212582
2457462.51793346 -104.797380791819 1.02253560052201 7.68223449178846 0.0116400677486492 41.111965583628 14.6110697613273 0.404796711582151 0.733534770365375 14.6110697613273 0.358258453716553 0.483062579678997
2457462.5234995 -104.751032940942 1.02607535673305 7.68157024852154 0.0105993051026676 41.1176138415333 13.2571882747779 0.405121357944259 3.55209505483483 13.2571882747779 0.359371254943721 0.483567452157995
