BJD RV_mlc e_RV_mlc FWHM_DRS BIS CONTRAST_DRS dLW Halpha MLCRX DLW NAD1 NAD2
2453001.83036047 -98.3176587034081 1.50565021200777 7.64062585793573 -0.00193948835480562 41.4439391832049 -62.145355507969 0.404385117330269 1.17599641273843 -62.145355507969 0.359465210199653 0.479849282943389
2453034.6072605 -94.006865305658 0.931697213157645 7.6367529152327 0.00395044327298777 41.4000173243592 -57.0026419602686 0.402789947526709 -4.85597107225311 -57.0026419602686 0.361330153408602 0.481300222427709
2453289.86972072 -114.744779919344 1.34103726810035 7.63777724794931 -0.00134917462653661 41.3595161600081 -54.436620367858 0.400939449614221 12.7307353643084 -54.436620367858 0.356059178795655 0.483533052848619
2453289.87078653 -117.528943187231 1.3866337833749 7.64059167361519 -0.00117402542119294 41.3674877466892 -50.1146396490994 0.400711726286896 13.2799285835354 -50.1146396490994 0.355761524636426 0.483946735970108
2453289.87183604 -115.451989509401 1.48091525215895 7.63940061862302 -0.000707820778137247 41.3770241800873 -54.1066252727962 0.399910341860324 -5.37915679249799 -54.1066252727962 0.354926109687622 0.483254119545305
2453289.87287373 -113.84247344309 1.21842517865753 7.6439031732203 -0.00260135044003462 41.3674068500792 -52.6078800420631 0.399776163316831 -3.46365860748607 -52.6078800420631 0.35423143652758 0.484920593926552
2453289.87394684 -114.000988777973 1.20314427235261 7.63419587977809 -0.00700002250888154 41.378238093412 -59.0075846013994 0.40060703616675 9.64462899611766 -59.0075846013994 0.354888538355874 0.484655525095589
2453289.87500282 -113.759563570678 1.38800444625376 7.64372263325033 -0.000716358745195933 41.3602315351218 -53.6435736171205 0.400074405593472 -8.37100974154539 -53.6435736171205 0.354081966553593 0.48163456453819
2453289.87603207 -113.517558105822 1.29424282894851 7.63764727085417 -0.000868101983522607 41.3751921003508 -57.9649555501539 0.400760989895389 -4.92335745882901 -57.9649555501539 0.35510753799906 0.481979548233737
2453289.87709418 -112.847597417457 1.31382434721025 7.64214403370554 0.00221791771472724 41.3653127047906 -53.1661918544688 0.401344294970529 1.79083718324192 -53.1661918544688 0.355200921405442 0.481068292566102
2453289.8781585 -115.815282593065 1.33708806274252 7.64463059903825 -7.70610338829414e-05 41.3744878561543 -54.2435451398618 0.40061680060461 -8.31580083737065 -54.2435451398618 0.357269446907747 0.480580177333573
2453289.87919121 -112.603892858831 1.30140609381483 7.63509381323367 -0.00180491556893614 41.3621217219257 -53.7218085324988 0.401182740125736 -7.03796173118583 -53.7218085324988 0.356255131426199 0.481764934617986
2453291.87209436 -120.382037286359 1.73018784767854 7.66092795402837 -0.00146353676066724 41.3008603690901 -46.4979925234762 0.401396727173565 0.218232104947629 -46.4979925234762 0.350110438119789 0.480733385577955
2453291.87314224 -120.07410555056 1.52459486020085 7.64743878395107 -0.00338598078828589 41.3128224596301 -44.2557085534577 0.401241096454498 -2.80285990219211 -44.2557085534577 0.349803351363371 0.479542819048143
2453291.8742019 -120.573591509255 1.89838756520064 7.65030452861216 -0.00372713141148395 41.3280970673004 -49.5270061525952 0.398207839833976 -10.7118727408386 -49.5270061525952 0.348799613552897 0.486056436587478
2453291.87522584 -116.494337377819 1.5592815433128 7.64875608020681 0.00158448908432263 41.3358606959081 -49.0518753944264 0.400089919654246 -9.64243763570681 -49.0518753944264 0.348535883360411 0.482734942602929
2453291.87628184 -119.552809127916 1.3890091408635 7.64776953101199 -0.000875212676843873 41.3104313155042 -45.2335450176392 0.40133943829412 -2.04277454248604 -45.2335450176392 0.348551062358601 0.482818467491254
2453291.87731907 -122.530056850723 1.3996601768599 7.64972191824845 -0.00157430616450149 41.3070333337407 -43.4732148282243 0.400458453137042 -16.5728015104681 -43.4732148282243 0.34801671361434 0.485684289864882
2453291.87840062 -120.8045536501 1.9039480972292 7.64602198261628 0.00294446112043367 41.3008651911408 -45.7123790016902 0.400600086066121 7.53808631583138 -45.7123790016902 0.349157343843764 0.482411566290773
2453291.87942914 -118.43299191622 1.50118113742034 7.65651903602172 -0.00135669990514486 41.3249525746314 -51.7332856363043 0.402242981277637 0.421947241535604 -51.7332856363043 0.350848770506812 0.482575591170569
2453292.86772441 -120.041926748997 1.61486589464146 7.63701913730529 0.00759822569001756 41.3317196577165 -52.1115097654013 0.399760928293616 3.88589097158569 -52.1115097654013 0.348192337703973 0.471951091254212
2453292.86877461 -122.394465324738 1.74456113913008 7.65256131940103 0.00423474035876126 41.3046425435123 -49.0529667487968 0.401686271572165 3.37995688756249 -49.0529667487968 0.348254090967567 0.473406469338067
2453292.86983265 -120.297291965826 1.65636203634171 7.65106431762823 -0.000119438547610429 41.3228389729099 -49.3321337109842 0.40128159625835 11.5997100956213 -49.3321337109842 0.348591034959674 0.473689765409299
2453292.870889 -122.440219866664 1.62814635438364 7.65016803393235 -0.00214802086193266 41.3299202174791 -50.323480230176 0.40106813776932 -28.3463002312455 -50.323480230176 0.346817321119512 0.475739962618528
2453292.87193342 -122.709903294113 1.83786035879919 7.65410643080217 -0.00549644392878079 41.3277303038095 -48.7691592573851 0.398854879740345 -12.5652940879109 -48.7691592573851 0.349538569593108 0.471647176828903
2453292.8729644 -122.286302749958 1.56006961401466 7.64352078519309 -0.00124420428772076 41.3473699199789 -48.8136217972399 0.401386423497767 13.6105690509378 -48.8136217972399 0.347237909485268 0.474582605875887
2453292.87402455 -119.531014212596 1.8979672187408 7.6524061023372 -0.00274273131502945 41.3442610022902 -50.9049802803585 0.401079790258843 -32.0181775438802 -50.9049802803585 0.351344996769575 0.470532483109811
2453292.87510379 -119.456517415741 1.82317511973681 7.64961431980586 -0.00647714377778108 41.3181328743868 -50.459103311624 0.399262349380286 0.111804351848914 -50.459103311624 0.349111082106584 0.472431987085756
2453294.86773606 -121.661707213284 1.61980546994595 7.65269047817165 0.000517424307973968 41.449752219109 -63.2291285809398 0.401024814603756 -16.6976290410699 -63.2291285809398 0.351833915988866 0.475792657760818
2453294.86878624 -128.039127411719 1.65117185494584 7.65630023044479 -0.00219601668464442 41.4538823154092 -65.6448882777641 0.401256996588564 -5.64939031768444 -65.6448882777641 0.352875502935792 0.473963388632843
2453294.86986331 -125.88729033371 2.17847579786562 7.64536474190042 0.000525953132415324 41.4834140390223 -72.3571574365903 0.399177103815309 18.6778555067606 -72.3571574365903 0.350740592269522 0.470888748228533
2453294.87089036 -124.57384474389 1.99987022979712 7.65707970316768 0.00108853518948493 41.4547178832707 -67.2711952261261 0.401174657488766 -6.71037504946456 -67.2711952261261 0.351240386927738 0.475738351774824
2453294.87194643 -125.287808009999 1.59516118544541 7.65521554486161 -0.00308682532118709 41.4511719612463 -61.0823047705038 0.401535665791433 -8.67164730135766 -61.0823047705038 0.351105751773988 0.479134724050535
2453294.8730036 -120.755532782736 1.76134174547015 7.64992524178761 0.00106402891073465 41.4648997192569 -62.5124182831527 0.399651823620107 -9.16282666874139 -62.5124182831527 0.349542303385449 0.478208377465994
2453294.87405762 -125.288055846757 1.81800695640224 7.6462504067841 -0.00727174936292485 41.5027848427754 -70.407974204109 0.400944250756966 -8.40598158576339 -70.407974204109 0.352883382329692 0.473725907605522
2453294.87511198 -123.943975865007 1.68806600594104 7.64788904981658 0.00277720638032619 41.4685747964414 -66.8695082892028 0.401793248134597 -4.48161234342686 -66.8695082892028 0.351668151254452 0.474679117533636
2453296.86414649 -121.079018491136 1.25739159193514 7.64644595613915 -0.00369824643619587 41.3845504204543 -54.189149237634 0.401368003131881 0.332434923650488 -54.189149237634 0.351840140374496 0.476614105530311
2453296.86514485 -122.174317295863 1.37018442673507 7.64775161234808 -0.00402298983212823 41.3881654350107 -55.2631031820032 0.402256945108178 5.56508685392374 -55.2631031820032 0.353066907044314 0.476736793683592
2453296.8662228 -123.709520800698 1.35872062245034 7.64567923174752 -0.00188295350152146 41.4111780762055 -58.12158008153 0.401454649167013 1.51663756483251 -58.12158008153 0.352999768581336 0.476877186661419
2453296.86726779 -124.713890731339 1.18227469877217 7.64360111631643 -0.000747307001486064 41.4115660494916 -60.2721684145531 0.400830123603803 -6.9138812602632 -60.2721684145531 0.353516862701386 0.476491588993896
2453296.8683004 -122.551988572144 1.33262968335575 7.64869302218131 -5.04052064087546e-05 41.3849032162456 -55.9126476228157 0.401042155494788 7.22070477969991 -55.9126476228157 0.352049899720839 0.474515038280285
2453296.86938982 -120.651584213608 1.22954930617199 7.64823064418673 -0.00254189019226736 41.3837678016146 -52.1302631186842 0.401588231127703 -6.8465225691208 -52.1302631186842 0.352883502772619 0.477313847350742
2453296.87043123 -121.130836164942 1.11778748192021 7.6495201750111 -0.000543200210016082 41.3750124595878 -49.8904445713075 0.402130388558494 3.84120480455579 -49.8904445713075 0.352763578129161 0.476101118876832
2453296.87150712 -124.550360956445 1.25695827464654 7.64897209208895 5.87065736681325e-05 41.3845653305936 -53.9726675316874 0.400675922299436 -15.5158493757716 -53.9726675316874 0.351749554705709 0.477123993080559
2453296.87255512 -123.526375917201 1.2689403798449 7.64412774911943 0.00315535616497442 41.3863873601401 -56.3959777654039 0.401080397214512 6.96270459990518 -56.3959777654039 0.354023826016572 0.475836290126807
2453296.87356514 -120.034991474951 0.973849518840496 7.64694165354188 -0.00333830526667178 41.4046748322071 -59.6354799643187 0.40145527134706 -5.99951010612638 -59.6354799643187 0.353164821055129 0.477882058467086
