Target,ra[rad],dec[rad],ra[h:m:s],dec[d:m:s],ObservationTimeAtGaia[UTC],CcdRow[1-7],zetaFieldAngle[rad],scanAngle[rad],Fov[FovP=preceding/FovF=following],parallaxFactorAlongScan,parallaxFactorAcrossScan,ObservationTimeAtBarycentre[BarycentricJulianDateInTCB]
HD48679,1.82517851143316,1.41246732865484,06:58:18.006,+80:55:42.300,2014-08-31T07:21:42.601,4,-0.000329565993121066,-1.79764582784412,FoVP,-0.677753329019394,0.724246220464329,2456900.80631622
HD48679,1.82517851143316,1.41246732865484,06:58:18.006,+80:55:42.300,2014-08-31T09:08:16.786,7,-0.00490768563580862,-1.80026200739724,FoVF,-0.676765692412275,0.725357154615608,2456900.88032655
HD48679,1.82517851143316,1.41246732865484,06:58:18.006,+80:55:42.300,2014-10-08T10:27:54.241,1,0.00378768994813481,-2.33002971892254,FoVP,-0.706014282515744,0.716046746750502,2456938.93760911
HD48679,1.82517851143316,1.41246732865484,06:58:18.006,+80:55:42.300,2014-10-08T12:14:28.452,6,-0.00157934573238283,-2.33042358140594,FoVF,-0.706446133147834,0.715489986457533,2456939.01162007
HD48679,1.82517851143316,1.41246732865484,06:58:18.006,+80:55:42.300,2014-11-15T03:31:35.713,1,0.00446328836038117,1.88540505081052,FoVP,0.582142246508098,0.708778861981363,2456976.65022969
HD48679,1.82517851143316,1.41246732865484,06:58:18.006,+80:55:42.300,2014-12-01T15:34:05.179,2,0.00202326048847184,2.89424250166781,FoVP,-0.512333738676217,0.70620762762821,2456993.15244024
HD48679,1.82517851143316,1.41246732865484,06:58:18.006,+80:55:42.300,2014-12-01T17:20:39.391,6,-0.00275367226935935,2.89702073856546,FoVF,-0.515206882760384,0.703899904274097,2456993.22644899
HD48679,1.82517851143316,1.41246732865484,06:58:18.006,+80:55:42.300,2015-01-11T20:07:45.930,2,0.00307332644434598,0.81558296186611,FoVP,0.485125274323641,0.701420133685998,2457034.34264713
HD48679,1.82517851143316,1.41246732865484,06:58:18.006,+80:55:42.300,2015-01-26T21:57:55.381,2,0.00452769764439988,1.77194686682341,FoVF,-0.533651785128495,0.70591734280618,2457049.41881338
HD48679,1.82517851143316,1.41246732865484,06:58:18.006,+80:55:42.300,2015-01-27T02:11:35.426,7,-0.00681529184714765,1.77867772931529,FoVP,-0.541005664803013,0.700874220928872,2457049.59496629
HD48679,1.82517851143316,1.41246732865484,06:58:18.006,+80:55:42.300,2015-04-02T00:54:52.865,2,0.00256981890391339,0.860801374552073,FoVP,-0.708958250640358,0.709757910127393,2457114.53870103
HD48679,1.82517851143316,1.41246732865484,06:58:18.006,+80:55:42.300,2015-04-02T02:41:27.074,6,-0.00255298951430799,0.859159613035968,FoVF,-0.70854921674021,0.710130242337452,2457114.61270412
HD48679,1.82517851143316,1.41246732865484,06:58:18.006,+80:55:42.300,2015-05-03T02:25:32.113,6,-0.0030717562838325,-1.11698270321143,FoVF,0.63142548961023,0.721154815843042,2457145.60012522
HD48679,1.82517851143316,1.41246732865484,06:58:18.006,+80:55:42.300,2015-06-15T20:02:50.196,3,0.00308112220408275,-0.583495374679196,FoVF,-0.490111124312945,0.720897712727704,2457189.33317205
HD48679,1.82517851143316,1.41246732865484,06:58:18.006,+80:55:42.300,2015-06-16T00:16:30.213,5,-0.00317463431854294,-0.594194832921391,FoVP,-0.484772533732262,0.724322056660358,2457189.509328
HD48679,1.82517851143316,1.41246732865484,06:58:18.006,+80:55:42.300,2015-07-10T06:25:10.619,6,-0.00527641993178707,-2.24415646964395,FoVP,0.486069306610312,0.730891876267021,2457213.76539867
HD48679,1.82517851143316,1.41246732865484,06:58:18.006,+80:55:42.300,2015-07-10T08:11:44.768,6,-0.00264216511341688,-2.24863758522146,FoVF,0.488352924079897,0.729481290965505,2457213.83940593
