BJD RV eRV
2452547.679303 0 7.16
2452551.633466 27.1599999999994 9.51
2452553.603783 34.4999999999995 13.09
2452942.64239 10.44 7.12
2452943.613789 18.3099999999996 8.86
2452945.565959 10.4099999999994 8.15
2453269.675267 -11.9700000000007 19.26
2453638.737985 -110.76 8.14
2453638.750982 -102.35 8.32
2453669.512188 -158.980000000001 7.57
2453669.525173 -147.77 7.61
2453671.537214 -142.05 7.03
2453671.550199 -145.370000000001 6.99
2453913.925544 -305.020000000001 7.43
2453913.936934 -310.420000000001 7.61
2453993.647472 -355.61 16.02
2453993.658849 -332.420000000001 17.88
2454045.551276 -399.84 17.03
