BJD RV eRV Ins
2459497.594884       29.891333    0.834361           1
2459499.567066       22.497449    0.650142           1
2459501.559913       24.371567    0.600539           1
2459505.570853       24.015934    0.791403           1
2459539.572390       18.174973    0.716558           1
2459544.510018       21.940336    0.565559           1
2459546.587028       20.599569    0.744151           1
2459548.561062       15.170644    0.547270           1
2459550.563128       13.490350    0.711552           1
2459560.578307       14.384169    0.776206           1
2459687.883888      -15.703971    0.552332           1
2459703.917509      -24.200588    0.511097           1
2459709.856792      -22.779967    0.585258           1
2459712.840163      -25.918993    0.771611           1
2459715.855677      -26.730522    0.565799           1
2459722.927982      -30.145949    0.564707           1
2459724.871919      -30.775592    0.710768           1
2459725.898336      -32.107038    0.549275           1
2459728.901363      -34.659892    1.117964           1
2459737.893717      -37.296964    0.641996           1
2459767.801139      -41.577504    0.630755           1
2459809.748426      -55.905346    0.733575           1
2459822.615891      -62.447115    0.650254           1
2459823.691024      -56.029111    0.794745           1
2459827.668857      -60.561089    0.691570           1
2459829.627067      -64.985839    0.811362           1
2459835.722904      -67.470169    0.900410           1
2459840.757520      -62.528263    1.283103           1
2459840.805215      -63.311295    1.335115           1
2459841.764067      -67.752698    0.827528           1
2459848.730999      -74.273678    0.835947           1
2459850.732604      -74.611255    0.739655           1
2459852.743185      -77.265179    0.652031           1
2459853.706792      -79.696518    0.794524           1
2459854.687134      -75.383265    0.810670           1
2459868.570700      -83.551315    0.593067           1
2459870.665734      -86.706215    0.829194           1
2459870.679170      -83.542551    0.955271           1
2459873.656375      -74.561167    0.736381           1
2459881.498573      -86.812325    0.591973           1
2459882.569512      -89.444137    0.573661           1
2459887.659966      -96.088744    0.630487           1
2459888.668443      -91.233146    0.672500           1
2459893.598926      -76.199398    0.771844           1
2459902.573659      -103.649202    0.640155           1
2459903.631588      -104.830150    0.721443           1
2459905.616600      -101.469385    0.611873           1
2459908.621293      -94.583302    0.751957           1
2459927.560440      -109.094750    0.924064           1
2459929.557432      -101.485256    0.615738           1
2459931.524128      -107.167480    0.976677           1
