BJD RV eRV
2457010.096166   -338.62   1.42
2457010.170169   -341.08   1.7
2457092.856649   -338.73   1.41
2457092.93066   -340.63   1.43
2457130.091203   -335.28   2.2
2457281.508798   -330.88   1.24
2457547.177378   -320.11   1.61
2457680.722202   -319.09   1.87
2457710.207118   -315.11   1.12
2457827.754668   -305.82   1.53
2458060.142534   -290.29   1.42
2458086.062277   -294.93   1.53
2458086.136278   -294.67   1.75
2458408.450948   -404.70   1.14
2458613.834346   -399.65   1.21
2458633.660613   -398.97   1.1
2458800.596176   -393.59   2
