Target, ra[rad], dec[rad], ra[h:m:s], dec[d:m:s], ObservationTimeAtGaia[UTC], CcdRow[1-7], zetaFieldAngle[rad], scanAngle[rad], Fov[FovP=preceding/FovF=following], parallaxFactorAlongScan, parallaxFactorAcrossScan, ObservationTimeAtBarycentre[BarycentricJulianDateInTCB]
TIC139270665,2.1647987298640285,0.5810469658444661,08:16:08.119,+33:17:29.540,2017-03-25T03:53:05.357,2,0.002831538575866572,-0.3543978561383171,FoVP,0.582578310201831,0.7096778975152079,2457837.66523025
TIC139270665,2.1647987298640285,0.5810469658444661,08:16:08.119,+33:17:29.540,2017-04-19T11:30:28.617,3,0.0032805239218481074,1.0135124811052607,FoVF,-0.7140606304222856,0.7134966683148481,2457862.980464901
TIC139270665,2.1647987298640285,0.5810469658444661,08:16:08.119,+33:17:29.540,2017-05-16T09:34:49.724,5,-0.0029966810176860455,-0.5467433218454244,FoVP,0.5618553087733145,0.7193488554550581,2457889.8976366227
TIC139270665,2.1647987298640285,0.5810469658444661,08:16:08.119,+33:17:29.540,2017-05-16T11:21:23.925,4,0.0013077031237335225,-0.5497576431617068,FoVF,0.5634438993901517,0.7174364504051705,2457889.9716371773
TIC139270665,2.1647987298640285,0.5810469658444661,08:16:08.119,+33:17:29.540,2017-09-27T22:06:15.759,1,0.004571828939864919,-2.1147156843536306,FoVP,-0.5990506627433136,0.7169181293860768,2458024.4197671753
TIC139270665,2.1647987298640285,0.5810469658444661,08:16:08.119,+33:17:29.540,2017-09-27T23:52:49.990,5,-1.8627448647734136E-6,-2.1174909444433143,FoVF,-0.597599661504909,0.7187366853931905,2458024.4937811466
TIC139270665,2.1647987298640285,0.5810469658444661,08:16:08.119,+33:17:29.540,2017-10-25T15:52:54.756,5,-0.0027998496625960714,2.5746060006895206,FoVP,0.7101830935816399,0.7138279767256903,2458052.1631541206
TIC139270665,2.1647987298640285,0.5810469658444661,08:16:08.119,+33:17:29.540,2017-10-25T17:39:28.966,3,0.00263003030404541,2.5748432605557348,FoVF,0.7097347926280314,0.7141384195455471,2458052.237168424
TIC139270665,2.1647987298640285,0.5810469658444661,08:16:08.119,+33:17:29.540,2017-11-18T05:33:00.919,4,0.0011518195947814549,-2.3662444961227167,FoVF,-0.5530169014345754,0.7093594692592963,2458075.7348813796
TIC139270665,2.1647987298640285,0.5810469658444661,08:16:08.119,+33:17:29.540,2018-04-04T11:01:16.384,4,-0.001105650081200588,-0.46594353394756866,FoVP,0.669068340521713,0.7111252895552722,2458212.961676296
TIC139270665,2.1647987298640285,0.5810469658444661,08:16:08.119,+33:17:29.540,2018-04-04T12:47:50.587,2,0.004115382838791537,-0.4646823672221955,FoVF,0.6681759578557744,0.7124089017544222,2458213.035676297
TIC139270665,2.1647987298640285,0.5810469658444661,08:16:08.119,+33:17:29.540,2018-05-04T18:27:58.138,3,0.0032381113017655506,0.9199104038066906,FoVF,-0.6689090492423196,0.7166553605231923,2458243.2689696276
TIC139270665,2.1647987298640285,0.5810469658444661,08:16:08.119,+33:17:29.540,2018-05-26T16:43:54.230,2,0.0017868243147035323,-0.46109837060556796,FoVP,0.41763029667524126,0.7186806192037077,2458265.194801729
TIC139270665,2.1647987298640285,0.5810469658444661,08:16:08.119,+33:17:29.540,2018-05-26T18:30:28.487,2,0.005284475432383859,-0.4649931011953744,FoVF,0.41977921404493496,0.7166286051184961,2458265.268803574
TIC139270665,2.1647987298640285,0.5810469658444661,08:16:08.119,+33:17:29.540,2018-10-08T13:02:42.776,1,0.006196513408666798,-2.0959507587793134,FoVF,-0.6791029285840141,0.7137999526518901,2458400.0432870653
TIC139270665,2.1647987298640285,0.5810469658444661,08:16:08.119,+33:17:29.540,2018-10-08T17:16:22.797,7,-0.005917656500464449,-2.1001164412602202,FoVP,-0.6770805245074407,0.7165894770587693,2458400.2194615304
TIC139270665,2.1647987298640285,0.5810469658444661,08:16:08.119,+33:17:29.540,2018-11-09T10:49:20.687,2,0.0023911495259649512,2.5639216524198885,FoVP,0.640487938927601,0.7116975591772375,2458431.9537554015
TIC139270665,2.1647987298640285,0.5810469658444661,08:16:08.119,+33:17:29.540,2018-11-27T12:38:19.404,1,0.0062426435862116296,-2.5588236126987773,FoVF,-0.4065999172604054,0.710982855165668,2458450.031002555
TIC139270665,2.1647987298640285,0.5810469658444661,08:16:08.119,+33:17:29.540,2018-11-27T16:51:59.380,5,-0.003396669538061925,-2.549901348583208,FoVP,-0.412798261990656,0.7053896024738255,2458450.207173568
TIC139270665,2.1647987298640285,0.5810469658444661,08:16:08.119,+33:17:29.540,2019-05-21T05:41:26.711,2,0.0020765581084306577,0.712060245801458,FoVP,-0.5099594665056989,0.7214068044749051,2458624.735241721
TIC139270665,2.1647987298640285,0.5810469658444661,08:16:08.119,+33:17:29.540,2019-05-21T07:28:00.929,5,-8.86850480077723E-4,0.7077318765564284,FoVF,-0.5067576324730962,0.7229272303867068,2458624.809242731
TIC139270665,2.1647987298640285,0.5810469658444661,08:16:08.119,+33:17:29.540,2019-06-04T05:49:58.150,6,-0.004321338742474946,-0.23656496676752692,FoVP,0.18585480605470633,0.7258434930722298,2458638.7400903446
TIC139270665,2.1647987298640285,0.5810469658444661,08:16:08.119,+33:17:29.540,2019-06-04T07:36:32.307,6,-0.0020739258742979373,-0.24127750439986267,FoVF,0.18869085226693647,0.7242732464883953,2458638.814091684
TIC139270665,2.1647987298640285,0.5810469658444661,08:16:08.119,+33:17:29.540,2019-06-04T11:50:12.351,1,0.003333224417620648,-0.2524665641524652,FoVP,0.1953808367802394,0.7204940337951274,2458638.9902374474
