TBJD PDCSAP ePDCSAP
1.438229087521421434e+03 7.688067500000000000e+05 9.734373474121093750e+01
1.438230476468178722e+03 7.681430000000000000e+05 9.730324554443359375e+01
1.438231865414935100e+03 7.682218750000000000e+05 9.730783843994140625e+01
1.438233254361225136e+03 7.678104375000000000e+05 9.728204345703125000e+01
1.438234643307981742e+03 7.677925000000000000e+05 9.728364562988281250e+01
1.438236032254738575e+03 7.673905000000000000e+05 9.726165008544921875e+01
1.438237421201494953e+03 7.670713125000000000e+05 9.723232269287109375e+01
1.438238810147785898e+03 7.670764375000000000e+05 9.724642181396484375e+01
1.438240199094542504e+03 7.665280000000000000e+05 9.719540405273437500e+01
1.438241588041299337e+03 7.667228750000000000e+05 9.720941162109375000e+01
1.438242976987590964e+03 7.666761875000000000e+05 9.722002410888671875e+01
1.438244365934346888e+03 7.659081875000000000e+05 9.715501403808593750e+01
1.438245754881103267e+03 7.662036250000000000e+05 9.717904663085937500e+01
1.438247143827859645e+03 7.659611250000000000e+05 9.716860961914062500e+01
1.438248532774150362e+03 7.660187500000000000e+05 9.716717529296875000e+01
1.438249921720907651e+03 7.654345000000000000e+05 9.713368225097656250e+01
1.438251310667664029e+03 7.654812500000000000e+05 9.714945220947265625e+01
1.438252699613954746e+03 7.652658125000000000e+05 9.711286163330078125e+01
1.438254088560712034e+03 7.651473125000000000e+05 9.711991882324218750e+01
1.438255477507468413e+03 7.649490000000000000e+05 9.710842132568359375e+01
1.438256866454224792e+03 7.648459375000000000e+05 9.708802032470703125e+01
1.438258255400515509e+03 7.647203125000000000e+05 9.708507537841796875e+01
1.438259644347271433e+03 7.645209375000000000e+05 9.706947326660156250e+01
1.438261033294028493e+03 7.645184375000000000e+05 9.707518005371093750e+01
1.438262422240319893e+03 7.643675625000000000e+05 9.707267761230468750e+01
1.438263811187076271e+03 7.642590625000000000e+05 9.704731750488281250e+01
1.438265200133832650e+03 7.640511875000000000e+05 9.703774261474609375e+01
1.438266589080588574e+03 7.640169375000000000e+05 9.704123687744140625e+01
1.438267978026880201e+03 7.637013750000000000e+05 9.703193664550781250e+01
1.438269366973637034e+03 7.634477500000000000e+05 9.701618194580078125e+01
1.438270755920392958e+03 7.635331875000000000e+05 9.700859832763671875e+01
1.438272144866683675e+03 7.631652500000000000e+05 9.698476409912109375e+01
1.438273533813440963e+03 7.629250000000000000e+05 9.697236633300781250e+01
1.438274922760198024e+03 7.632650000000000000e+05 9.699520111083984375e+01
1.438276311706488968e+03 7.628890000000000000e+05 9.698627471923828125e+01
1.438277700653244437e+03 7.629514375000000000e+05 9.696482849121093750e+01
1.438279089600000816e+03 7.629162500000000000e+05 9.697559356689453125e+01
1.438280478546292443e+03 7.625267500000000000e+05 9.695007324218750000e+01
1.438281867493048821e+03 7.624211250000000000e+05 9.694080352783203125e+01
1.438283256439805200e+03 7.622594375000000000e+05 9.693677520751953125e+01
1.438284645386561806e+03 7.620620625000000000e+05 9.691628265380859375e+01
1.438286034332853205e+03 7.619072500000000000e+05 9.691020202636718750e+01
1.438287423279610493e+03 7.619483750000000000e+05 9.691191864013671875e+01
1.438288812226365962e+03 7.615648750000000000e+05 9.688495635986328125e+01
1.438290201172656907e+03 7.614687500000000000e+05 9.687546539306640625e+01
1.438291590119413513e+03 7.613990000000000000e+05 9.688282775878906250e+01
1.438292979065704230e+03 7.611715625000000000e+05 9.686911010742187500e+01
1.438294368012461291e+03 7.610565000000000000e+05 9.686110687255859375e+01
1.438295756959217897e+03 7.609195000000000000e+05 9.684522247314453125e+01
1.438297145905508614e+03 7.608261250000000000e+05 9.684934997558593750e+01
1.438298534852265675e+03 7.604565625000000000e+05 9.681765747070312500e+01
1.438299923799022281e+03 7.601393125000000000e+05 9.679998779296875000e+01
1.438301312745312998e+03 7.603901250000000000e+05 9.682466888427734375e+01
1.438302701692069377e+03 7.602853750000000000e+05 9.682359313964843750e+01
1.438304090638825073e+03 7.600486250000000000e+05 9.679957580566406250e+01
1.438305479585116473e+03 7.600238750000000000e+05 9.678976440429687500e+01
1.438306868531873761e+03 7.597798750000000000e+05 9.678015899658203125e+01
1.438308257478630139e+03 7.595825625000000000e+05 9.676294708251953125e+01
1.438309646424920857e+03 7.593172500000000000e+05 9.675109863281250000e+01
1.438311035371677235e+03 7.595966250000000000e+05 9.677473449707031250e+01
1.438312424317968862e+03 7.591244375000000000e+05 9.674222564697265625e+01
1.438313813264725241e+03 7.589817500000000000e+05 9.672975158691406250e+01
1.438315202211481164e+03 7.587298750000000000e+05 9.670708465576171875e+01
1.438316591157771882e+03 7.586318125000000000e+05 9.669589233398437500e+01
1.438317980104528942e+03 7.588495000000000000e+05 9.672093200683593750e+01
1.438319369050820342e+03 7.588240000000000000e+05 9.670291137695312500e+01
1.438320757997576720e+03 7.587936250000000000e+05 9.671422576904296875e+01
1.438322146944332644e+03 7.582745000000000000e+05 9.668603515625000000e+01
1.438323535890624271e+03 7.580085625000000000e+05 9.666532135009765625e+01
