t RVel eRVel
2451155.03027 1.73 4.85
2451242.83301 35.61 3.99
2451534.01074 10.83 3.99
2451914.00391 -19.93 3.18
2451914.9707 -18.66 3.3
2451915.99316 -2.13 3.32
2451927.98374 -10.51 3.56
2451945.93848 -1.31 3.27
2451946.88672 1.09 3.61
2452075.68164 -26.4 3.48
2452333.87891 0 3.11
