BJD RV eRV
2455842.9355203 262.698 2.099
2455851.8056396 275.62 1.67
2455903.8069238 2.629 1.718
2456167.0755669 -172.371 1.781
2456168.0671539 -58.405 1.593
2456522.1376057 114.925 1.651
2456524.1399947 -81.214 1.728
2456525.1298107 -159.252 1.649
2456532.1010381 -49.787 1.629
