BJD RV eRV CRX dLW Halpha NaD1 NaD2 FWHM_DRS CONTRAST_DRS BIS
2454743.61286 55.267 1.17732336849 -2.60618589084886 -0.866268827709 0.446117316026095 0.270247028505873 0.357958691185994 7.25706587483 54.1648245788 -0.0112402244707
2454743.77506 34.916 0.976762770172 -0.649656314021087 -1.86800343718 0.445482799231874 0.264374208937291 0.362367788421991 7.26148811941 54.1619698078 -0.00894682806079
2454744.48289 -32.101 2.03911648494 0.897050044891868 19.7034159565 0.444610668335233 0.275866824042348 0.366037625425612 7.26424260532 53.503811625 -0.0195279656756
2454744.4891 -34.388 1.89934550448 -3.2087659717938 -0.463035966552 0.450873517197559 0.268020620181021 0.365569149125819 7.26904866013 53.9042401859 -0.0176330752978
2454744.49295 -31.238 1.88401449311 0.117222723560624 -3.31066339902 0.442633486503297 0.276769989882015 0.360824960276724 7.25903425464 53.9500696023 -0.0243701596562
2454744.49683 -33.844 1.82349272589 9.59636799355284 -0.593915306519 0.445282904742998 0.272646864935417 0.364854728738245 7.25942459064 53.9747442696 -0.0131490743732
2454744.5007 -35.568 1.92734397498 18.9570548539147 2.31544259211 0.45018013652553 0.268403720578884 0.366271658368171 7.26711209397 53.8757542878 -0.0175740091033
2454744.5045 -33.507 2.09904552913 -14.5017702463157 6.32496567601 0.447779333967997 0.274573633645482 0.362362599258566 7.26487159665 53.9176209407 -0.0115631411823
2454744.50827 -37.083 2.02603109209 5.05218002165358 -0.671091853096 0.449246774466418 0.271229847187279 0.369878316223145 7.25579808184 53.924482191 -0.0178769979932
2454744.51221 -36.441 1.99621656127 6.41078606729131 1.57805304961 0.441349521524745 0.269377723471581 0.359708690005574 7.27390155792 53.9507685242 -0.011848964424
2454744.51598 -32.949 1.78616138321 -5.15697966627487 -3.29853674746 0.443666653816003 0.270125778795535 0.364329606404885 7.25668219092 54.1087773674 -0.0130485144732
2454744.51982 -36.794 1.8900295394 11.3043467944602 -5.01061186963 0.443517441780614 0.269221830033291 0.368902975215639 7.25458420987 54.0104408298 -0.0202061692183
2454744.52376 -38.228 1.75657226989 8.48684877013632 -2.80341260239 0.441290686780475 0.271005804273462 0.363695059547408 7.25517768542 54.0553470569 -0.00720911767569
2454744.52746 -36.599 1.99622171109 3.46024993970474 -3.70931009247 0.446957159961824 0.275687347010591 0.362635503700792 7.2579864691 54.0947105916 -0.00597085136923
2454744.53141 -35.455 2.05810744309 7.13849606739989 -0.0305124622073 0.445783456336201 0.272732383452854 0.368735557227102 7.26395096833 53.9510174641 -0.0243652524123
2454744.53525 -38.202 1.96702749331 22.5796961698545 3.71125017234 0.441172321118033 0.26975207024422 0.363931808070624 7.25898940583 54.057683357 -0.0125077601612
2454744.53897 -40.786 2.02770369049 -24.5043907607714 -2.25682901091 0.448075335196182 0.267724329531213 0.36891187460165 7.24726392756 54.0541612291 -0.00743440976531
2454744.54285 -35.266 2.27115099495 -14.5610938821675 0.265836446299 0.445636465529146 0.276102092925199 0.366118136957418 7.25170606227 53.9800756407 -0.0120760781421
2454744.54672 -40.317 2.14860958259 21.173888309374 -4.1789377272 0.445215554911244 0.274376322680812 0.360372279030844 7.24627540924 54.0839019743 -0.00904940096334
2454744.55056 -37.674 2.18370096901 18.5781676055068 2.55199001503 0.443472569766884 0.2667180725431 0.361881974172725 7.24621570566 54.00657075 -0.00498060167634
2454744.55436 -36.732 2.16228875596 4.77025919792599 -3.72874515641 0.445069749133108 0.270601483587433 0.363138385608004 7.22560303658 54.1944543071 -0.0217659378749
2454744.55819 -41.882 2.17776221687 -11.1861430358572 4.12431438087 0.442692217737873 0.263815097664382 0.363271562298979 7.25973522195 54.0752386443 -0.018962054211
2454744.56214 -31.596 2.1688174513 9.41850427008394 -2.59523612804 0.448592978639413 0.280740435901856 0.357207608658167 7.24416038111 54.176165773 -0.0133083362366
2454744.56591 -40.916 2.12942517351 -6.88238311902419 1.22363723213 0.448129163535588 0.268761892295978 0.366177330287878 7.24023138146 54.105236205 -0.00694998781106
2454744.56975 -34.636 2.1038594357 32.5979492061164 -0.133680706846 0.445767447535433 0.267432877954175 0.364393806976893 7.2531461185 54.1163472018 -0.0032065470686
2454744.57355 -34.772 2.15580916457 0.737427073426989 -2.09059084915 0.448368046279998 0.264103439193517 0.365102522833533 7.23602939035 54.1584549725 -0.0129235087353
2454744.57739 -38.584 2.29858883084 27.4982908904159 -2.23833006785 0.444555481286188 0.263672271239295 0.359498980078907 7.25808043185 54.0854570101 -0.0156973718973
2454744.58123 -36.474 2.31399753268 21.0731395545278 -6.09326540936 0.449752874892873 0.26421576799174 0.362386368833821 7.23978791394 54.2312692589 -0.00319190409608
2454744.58506 -35.056 2.35628527692 9.48730711232683 -0.232061837485 0.446871894764668 0.270086095289089 0.368790653876468 7.25386904588 54.0363511724 -0.0134489479977
2454744.58894 -35.405 2.36218906276 -1.13273395261505 0.765295895119 0.451669008922079 0.265702235951869 0.359841697274515 7.24583073049 54.0155655534 -0.0147391780449
2454744.59309 -33.137 1.77211970362 -9.09771848459772 -1.83605265112 0.44421662833934 0.268942951052923 0.36689363561006 7.2559660136 54.1187399359 -0.0161986798899
2454744.59662 -29.836 1.44418245991 -2.93265331145094 -7.3331716431 0.444989879362665 0.263683601841172 0.362798441949496 7.25002144214 54.1719869946 -0.0180639120385
2454744.60049 -32.824 1.39060493631 6.58491440558824 -5.32945340552 0.44439037126364 0.261481093011827 0.363139755991551 7.257585414 54.1784785903 -0.00795801891083
