TBJD PDCSAP ePDCSAP
1.325398660424539457e+03 5.850590000000000000e+05 8.367239379882812500e+01
1.325400049313856243e+03 5.848906875000000000e+05 8.366583251953125000e+01
1.325401438203173484e+03 5.848343125000000000e+05 8.365810394287109375e+01
1.325402827092723101e+03 5.849495625000000000e+05 8.367279815673828125e+01
1.325404215982039432e+03 5.850529375000000000e+05 8.367381286621093750e+01
1.325405604871356218e+03 5.849361250000000000e+05 8.366412353515625000e+01
1.325406993760906289e+03 5.850191250000000000e+05 8.366619110107421875e+01
1.325408382650223075e+03 5.849395000000000000e+05 8.365697479248046875e+01
1.325409771539538951e+03 5.850063125000000000e+05 8.367086791992187500e+01
1.325411160429089023e+03 5.849619375000000000e+05 8.366764831542968750e+01
1.325412549318405354e+03 5.849230000000000000e+05 8.366079711914062500e+01
1.325413938207721458e+03 5.849603750000000000e+05 8.366212463378906250e+01
1.325415327097271756e+03 5.849404375000000000e+05 8.366615295410156250e+01
1.325416715986588088e+03 5.850773125000000000e+05 8.368570709228515625e+01
1.325418104875904874e+03 5.849041875000000000e+05 8.366683197021484375e+01
1.325419493765454945e+03 5.850841250000000000e+05 8.367546081542968750e+01
1.325420882654771731e+03 5.850764375000000000e+05 8.367951965332031250e+01
1.325422271544088062e+03 5.849900000000000000e+05 8.366854095458984375e+01
1.325423660433637679e+03 5.849516875000000000e+05 8.366941070556640625e+01
1.325425049322954010e+03 5.851071250000000000e+05 8.367859649658203125e+01
1.325426438212503626e+03 5.850021250000000000e+05 8.367340087890625000e+01
1.325427827101820412e+03 5.850039375000000000e+05 8.367359161376953125e+01
1.325429215991137653e+03 5.851080625000000000e+05 8.367974090576171875e+01
1.325430604880686815e+03 5.849551875000000000e+05 8.366658782958984375e+01
1.325431993770002691e+03 5.849722500000000000e+05 8.367533874511718750e+01
1.325433382659552990e+03 5.849248125000000000e+05 8.367274475097656250e+01
1.325434771548869548e+03 5.849360625000000000e+05 8.366916656494140625e+01
1.325436160438418256e+03 5.849597500000000000e+05 8.367182922363281250e+01
1.325437549327735496e+03 5.849240625000000000e+05 8.366800689697265625e+01
1.325438938217052964e+03 5.849141250000000000e+05 8.366405487060546875e+01
