MJD RV eRV bis fwhm rhk halpha nad1 nad2 3AP2-1 3AP3-2 6AP2-1 6AP3-2 6AP4-3 6AP5-4 6AP6-5 9AP2-1 9AP3-2 9AP4-3 9AP5-4 9AP6-5 9AP7-6 9AP8-7 9AP9-8
57199.946356 25.3857013206439 0.315164205871098 36.423054 5.963970382 0.268165753492517 0.738372131166578 1.23553257379261 0.984403231036673 -0.196743129289601 1.4903668093812 3.2596801455877 -1.7403477402976 1.6951010595681 -2.8446922256256 9.1246851691191 -2.4094888038419 1.693297663183 -1.3959351763181 0.4880659361014 0.583644190055999 -1.8655929056376 4.1809646701183 4.8088199879413
57202.921106 27.1864021546935 0.358525401569841 36.221649 5.963242912 0.264810609805473 0.739679821414049 1.2341278660919 0.986930233109278 -0.269992465210201 3.3924320314844 0.3676177454211 0.228911611969899 -0.9610336529454 0.396251111383201 8.4088096755643 1.5503947950379 -1.705970906311 3.7407519985663 -4.1940815897206 -0.817209136439001 1.96168779694 1.8553790183341 12.8376296456935
57255.731675 33.1424456964807 0.329904978214839 39.215451 5.961119258 0.263302225745646 0.74117111658747 1.23767586460738 0.989523275672094 4.9195734397436 -3.559331173734 3.2827314344272 -0.0483763011229001 7.6782140469549 -9.8656343926032 7.4478748786812 -5.5417842548624 7.4353751576884 0.477310950419998 -3.2068868349516 9.5339492050075 -11.5832842730597 5.1039186609231 3.2870077687618
57260.811687 31.3714708632845 0.377061044551598 36.427773 5.955536047 0.257450326384853 0.739425813722488 1.23737437945099 0.988990590380855 1.7082250290876 1.8553609451054 9.2669818783387 -2.5035712372832 4.4570138993598 -3.2089744478574 7.9162836069639 9.6850558252637 8.9449135386164 -4.3015245937334 -0.8507405604085 5.6182138575359 -5.1908871535958 8.6160184010151 -2.9012271173076
57263.681573 31.969960152111 0.365385339830766 37.090084 5.955673399 0.258226184541728 0.742287390333389 1.23794230176798 0.991694752453622 2.3143847340668 3.3557536465095 2.8352768043934 1.5061487222844 0.525488111143599 0.567061161163299 6.3172120950689 4.3749410308845 2.3151281773172 0.8477388229071 -0.7131330666023 1.8215944452687 -0.907294479409298 3.5409708885756 8.6580555129649
57265.701731 33.0551475353877 0.307316649107648 36.387896 5.955407624 0.255590208604267 0.743468837605779 1.23842775180658 0.990699339951046 -1.4492547810684 3.4846640727473 5.0176286356746 -3.2299863399389 1.5223742875312 0.115246808638503 6.7807278534744 0.2310250517593 7.7182983524712 -4.1396526771614 -2.2786001922594 2.1764899026428 -1.5064410346887 7.7449167000736 1.9904263991175
57319.661764 29.5846771833997 0.327283739666074 36.626019 5.945264732 0.240221336243443 0.741458599916907 1.23923998894252 0.9900769966397 -0.529327995537201 1.70676632356 6.7705380536829 -2.3579169761052 1.2092735770441 -4.4849879768652 14.0112418475976 -1.5286049681146 6.3031307123128 -2.3766917533787 0.220425539763202 -2.2401883912673 -2.1048521513226 13.0670507697767 -9.7376935910929
57325.573378 32.3673581975451 0.294853032550731 35.587257 5.95563437 0.251208524283177 0.733822639651694 1.23897227215711 0.990041654798823 -0.0227117477389989 2.8664295164658 5.3059240941063 -0.523016396946396 -0.7071237229205 -2.9566080400955 15.4127004144953 1.3304676140724 2.8827464544115 0.0513170390388993 -2.6709093338322 1.3389860457258 -3.7854834752774 17.1371712244939 -13.45961854784
57366.564157 35.1410501691075 0.319274991827845 39.470574 5.954404267 0.248506235328911 0.743953393293642 1.23710037777549 0.992870004342842 1.4912404661047 -0.439775716708198 6.1958939942966 -1.2562062608591 3.0075340238237 -5.7696173887257 9.7641338511895 -3.6762112295724 -1.17872230297341 1.3478879528204 -1.248517474874 4.2262530705618 -6.6761572443894 5.8489701222808 5.481983613404
57373.584474 33.9001507110578 0.324685779110553 34.444069 5.956892022 0.260042109689957 0.73537075480171 1.23854412841508 0.988809949586932 -2.4739910580711 4.86785406067879 2.8108624697982 -3.0533574519946 0.211967367453298 -2.6369993789284 18.2953763023028 -4.2737298942707 4.9222807277424 -3.3893511261458 -1.5744995814753 0.503578212095899 -4.64711237818 18.8968519275244 -1.40319975334589
