BJD RV eRV FWHM BIS Sind eSind Halpha eHalpha
2458370.899351 3.64999999999964 0.3 8728.78 -0.0362 0.156334 3.8e-05 0.190701 1.6e-05
2458371.876552 8.35999999999876 0.43 8728.31 -0.0362 0.153562 6.4e-05 0.18977 2.5e-05
2458371.878567 10.0799999999999 0.36 8728.22 -0.0365 0.153934 4.9e-05 0.190564 2e-05
2458371.880488 10.0899999999983 0.37 8728.59 -0.0365 0.153688 5.2e-05 0.190812 2.1e-05
2458371.88238 8.88999999999942 0.36 8728.05 -0.0351 0.153956 4.8e-05 0.190086 2e-05
2458371.884336 10.0299999999988 0.36 8727.79 -0.0369 0.152964 4.9e-05 0.190474 2e-05
2458371.886275 9.70999999999913 0.37 8725.47 -0.0354 0.153517 5e-05 0.190649 2.1e-05
2458371.888247 9.46999999999935 0.35 8725.02 -0.0353 0.153329 4.6e-05 0.190416 1.9e-05
2458371.890168 9.53999999999905 0.44 8726.35 -0.0383 0.152806 6.7e-05 0.190379 2.6e-05
2458371.892075 9.92999999999847 0.44 8725.94 -0.0377 0.15258 6.5e-05 0.190944 2.5e-05
2458371.894148 9.45999999999913 0.49 8728.47 -0.0367 0.150533 7.6e-05 0.190317 2.9e-05
2458371.895988 9.54999999999927 0.41 8723.02 -0.0352 0.152554 6e-05 0.190817 2.4e-05
2458371.897941 10.6399999999994 0.41 8726.33 -0.0365 0.152678 6e-05 0.190795 2.4e-05
2458372.878873 13.0399999999991 0.29 8726.66 -0.0363 0.15609 3.5e-05 0.190832 1.6e-05
2458372.880747 12.5699999999997 0.3 8725.62 -0.0374 0.154528 3.7e-05 0.191652 1.6e-05
2458372.882634 11.119999999999 0.3 8726.67 -0.0366 0.15752 3.6e-05 0.190888 1.6e-05
2458372.884621 12.4299999999985 0.35 8729.93 -0.0366 0.153806 4.6e-05 0.191974 2e-05
2458372.886662 13.0799999999999 0.33 8728.23 -0.0367 0.15474 4.1e-05 0.191376 1.8e-05
2458372.888549 11.6399999999994 0.29 8728.35 -0.0359 0.156879 3.3e-05 0.191397 1.5e-05
2458372.890511 12.4399999999987 0.27 8727.59 -0.0366 0.157846 3e-05 0.19138 1.4e-05
2458372.89241 12.5199999999986 0.24 8727.55 -0.0362 0.158338 2.6e-05 0.191387 1.2e-05
2458372.894359 11.8999999999996 0.25 8728.49 -0.0368 0.157859 2.8e-05 0.191555 1.3e-05
2458372.89628 12.6099999999988 0.27 8726.82 -0.036 0.157465 3e-05 0.19122 1.4e-05
2458373.890932 14.2999999999993 0.24 8726.99 -0.0368 0.158753 2.5e-05 0.191039 1.2e-05
2458373.892893 14.1599999999999 0.23 8731.83 -0.0361 0.158854 2.4e-05 0.19128 1.2e-05
2458373.894835 13.8399999999983 0.23 8729.4 -0.0363 0.158421 2.3e-05 0.1911 1.1e-05
2458373.896761 13.8599999999988 0.22 8730.33 -0.0371 0.158721 2.1e-05 0.191056 1.1e-05
2458373.898702 13.9399999999987 0.23 8729.83 -0.0364 0.158992 2.2e-05 0.191449 1.1e-05
2458373.900687 14.4699999999993 0.22 8731.11 -0.0367 0.158809 2.1e-05 0.191211 1.1e-05
2458374.87145 16.6999999999989 0.32 8728.46 -0.0368 0.155662 4.1e-05 0.190068 1.8e-05
2458374.873361 16.7999999999993 0.27 8730.14 -0.0371 0.156385 3e-05 0.189734 1.4e-05
2458374.875264 15.8399999999983 0.26 8730.86 -0.0362 0.157675 2.9e-05 0.190253 1.4e-05
2458374.883539 16.1499999999996 0.25 8727.14 -0.0364 0.158174 2.6e-05 0.190244 1.3e-05
2458374.885487 16.9599999999991 0.25 8729.75 -0.0367 0.157955 2.7e-05 0.18999 1.3e-05
2458374.88745 15.6499999999996 0.25 8728.48 -0.0362 0.15803 2.6e-05 0.190102 1.3e-05
2458374.889488 17.2299999999996 0.23 8728.83 -0.0365 0.158587 2.3e-05 0.190275 1.1e-05
2458374.891436 16.619999999999 0.23 8727.63 -0.0372 0.158904 2.2e-05 0.189959 1.1e-05
