TBJD PDCSAP ePDCSAP
1.325298447448228444e+03 1.341888125000000000e+06 1.261216201782226562e+02
1.325299836327533512e+03 1.342160125000000000e+06 1.262294464111328125e+02
1.325301225206837671e+03 1.341968125000000000e+06 1.262428283691406250e+02
1.325302614086143194e+03 1.342299500000000000e+06 1.262796630859375000e+02
1.325304002965448262e+03 1.341956875000000000e+06 1.262801742553710938e+02
1.325305391844752421e+03 1.341830750000000000e+06 1.262670516967773438e+02
1.325306780724290775e+03 1.342130000000000000e+06 1.262955169677734375e+02
1.325308169603595843e+03 1.342041625000000000e+06 1.262893218994140625e+02
1.325309558482900457e+03 1.342243750000000000e+06 1.262868957519531250e+02
1.325310947362205980e+03 1.342248625000000000e+06 1.262723083496093750e+02
1.325312336241510366e+03 1.342354750000000000e+06 1.263082351684570312e+02
1.325313725120815207e+03 1.342100875000000000e+06 1.262825164794921875e+02
1.325315114000353560e+03 1.342023750000000000e+06 1.262684097290039062e+02
1.325316502879658628e+03 1.341834000000000000e+06 1.262882003784179688e+02
1.325317891758963242e+03 1.342066375000000000e+06 1.262763748168945312e+02
1.325319280638268310e+03 1.341852000000000000e+06 1.262815856933593750e+02
1.325320669517806664e+03 1.342235750000000000e+06 1.262637557983398438e+02
1.325322058397111732e+03 1.342138375000000000e+06 1.262870712280273438e+02
1.325323447276415891e+03 1.341990375000000000e+06 1.262753982543945312e+02
1.325324836155721414e+03 1.341861875000000000e+06 1.262759323120117188e+02
1.325326225035259313e+03 1.342065375000000000e+06 1.262659072875976562e+02
1.325327613914563472e+03 1.341635750000000000e+06 1.262930526733398438e+02
1.325329002793868995e+03 1.341951375000000000e+06 1.262716445922851562e+02
1.325330391673406439e+03 1.342056875000000000e+06 1.262826080322265625e+02
1.325331780552710825e+03 1.341854500000000000e+06 1.262902374267578125e+02
1.325333169432016575e+03 1.341924875000000000e+06 1.262592849731445312e+02
1.325334558311554929e+03 1.341700625000000000e+06 1.262764053344726562e+02
1.325335947190859542e+03 1.341984000000000000e+06 1.262882843017578125e+02
1.325337336070164611e+03 1.342278500000000000e+06 1.262894058227539062e+02
1.325338724949702510e+03 1.341791625000000000e+06 1.262649459838867188e+02
1.325340113829007123e+03 1.341846750000000000e+06 1.262765579223632812e+02
1.325341502708312191e+03 1.342017000000000000e+06 1.262951202392578125e+02
1.325342891587849635e+03 1.341753375000000000e+06 1.262734527587890625e+02
1.325344280467154704e+03 1.341993750000000000e+06 1.262999496459960938e+02
1.325345669346692603e+03 1.341661750000000000e+06 1.262813034057617188e+02
1.325347058225998126e+03 1.341952625000000000e+06 1.262760009765625000e+02
1.325348447105536479e+03 1.341952125000000000e+06 1.262915496826171875e+02
1.325349835984840638e+03 1.342035125000000000e+06 1.262908935546875000e+02
1.325351224864145706e+03 1.341899875000000000e+06 1.262892608642578125e+02
1.325352613743684060e+03 1.342191625000000000e+06 1.262797317504882812e+02
1.325354002622988219e+03 1.342150250000000000e+06 1.262947387695312500e+02
1.325355391502525663e+03 1.342017375000000000e+06 1.262819442749023438e+02
1.325356780381831413e+03 1.341812250000000000e+06 1.262670974731445312e+02
1.325358169261369085e+03 1.342122750000000000e+06 1.262881698608398438e+02
1.325359558140674153e+03 1.342069750000000000e+06 1.262836837768554688e+02
1.325360947020211597e+03 1.342210500000000000e+06 1.263138580322265625e+02
1.325362335899516665e+03 1.342488750000000000e+06 1.263168258666992188e+02
1.325363724779054564e+03 1.342118000000000000e+06 1.262980957031250000e+02
1.325365113658592009e+03 1.342126000000000000e+06 1.263072814941406250e+02
1.325366502537897532e+03 1.342123625000000000e+06 1.263109893798828125e+02
1.325367891417435430e+03 1.342465375000000000e+06 1.263130035400390625e+02
1.325369280296740271e+03 1.342225000000000000e+06 1.263107070922851562e+02
1.325370669176278852e+03 1.342315125000000000e+06 1.263116836547851562e+02
1.325372058055583011e+03 1.342040875000000000e+06 1.262936248779296875e+02
1.325373446935120455e+03 1.341654375000000000e+06 1.262500839233398438e+02
1.325374835814659036e+03 1.341938250000000000e+06 1.263211822509765625e+02
1.325376224693963422e+03 1.342272625000000000e+06 1.262922515869140625e+02
1.325377613573500867e+03 1.341727000000000000e+06 1.262964553833007812e+02
1.325379002453039220e+03 1.342094750000000000e+06 1.263097457885742188e+02
1.325380391332344288e+03 1.341468750000000000e+06 1.262641983032226562e+02
1.325381780211881960e+03 1.341951375000000000e+06 1.262882843017578125e+02
1.325383169091419632e+03 1.341868500000000000e+06 1.262944564819335938e+02
1.325384557970725155e+03 1.341941875000000000e+06 1.262944793701171875e+02
1.325385946850263053e+03 1.341967000000000000e+06 1.262919692993164062e+02
1.325387335729800043e+03 1.341869250000000000e+06 1.262964096069335938e+02
1.325388724609105566e+03 1.341950125000000000e+06 1.262808761596679688e+02
1.325390113488643465e+03 1.342143000000000000e+06 1.263103790283203125e+02
1.325391502368180909e+03 1.341937250000000000e+06 1.263019104003906250e+02
1.325392891247719263e+03 1.342045750000000000e+06 1.262883682250976562e+02
1.325394280127023649e+03 1.341996250000000000e+06 1.263220062255859375e+02
1.325395669006561320e+03 1.342193125000000000e+06 1.263005828857421875e+02
1.325397057886099674e+03 1.342174125000000000e+06 1.263056182861328125e+02
1.325398446765636663e+03 1.342156375000000000e+06 1.262974166870117188e+02
1.325399835644941732e+03 1.342307375000000000e+06 1.263135833740234375e+02
1.325401224524480085e+03 1.342044375000000000e+06 1.263076705932617188e+02
1.325402613404017984e+03 1.341979000000000000e+06 1.263251647949218750e+02
1.325404002283555428e+03 1.342123125000000000e+06 1.262949523925781250e+02
1.325405391163093327e+03 1.342157250000000000e+06 1.262953338623046875e+02
1.325406780042631681e+03 1.342097625000000000e+06 1.262914962768554688e+02
1.325408168921936749e+03 1.342352750000000000e+06 1.263199081420898438e+02
1.325409557801473738e+03 1.341801125000000000e+06 1.262908630371093750e+02
1.325410946681012092e+03 1.342172000000000000e+06 1.263012084960937500e+02
1.325412335560549536e+03 1.342219375000000000e+06 1.262852706909179688e+02
1.325413724440086753e+03 1.341716375000000000e+06 1.262583999633789062e+02
1.325415113319625334e+03 1.341795625000000000e+06 1.263060913085937500e+02
1.325416502199162778e+03 1.341928250000000000e+06 1.263174133300781250e+02
1.325417891078700677e+03 1.342029000000000000e+06 1.263033142089843750e+02
1.325419279958239031e+03 1.342279125000000000e+06 1.263073120117187500e+02
1.325420668837544099e+03 1.342267125000000000e+06 1.263320083618164062e+02
1.325422057717081543e+03 1.341682125000000000e+06 1.262623214721679688e+02
1.325423446596619442e+03 1.342036750000000000e+06 1.262946624755859375e+02
1.325424835476156886e+03 1.342307375000000000e+06 1.263158493041992188e+02
