BJD RV eRV
2454278.47730494 0 3.557175
2454809.82861155 -79.8810039999998 4.109036
2454857.7975846 -80.0251279999993 3.249376
2454861.86363314 -88.4487209999998 3.571772
2454897.71210487 -99.2617009999994 3.268036
2454948.47230207 -100.665862 3.178081
2454985.55900135 -121.50512 3.741062
2455204.8001603 140.136037 3.015932
2455205.80431053 136.004421000001 3.034578
2455235.86793452 145.840902 3.270586
2455263.79810371 144.263763 3.054868
2455309.64831741 148.461793 2.885945
2455388.50644392 143.420025 3.302207
2455403.4873746 147.515832 3.096276
2455404.46484807 141.250981 3.1469
2455406.45617204 146.101884000001 9.715681
2455406.46765269 147.936408 5.726128
2455579.83819178 118.225339000001 3.184907
2455643.74444594 129.384524 3.194945
2455669.59661044 114.724529 3.360028
2455704.5893319 123.012815 6.064338
2455763.47064883 113.98132 3.028697
2455958.76152942 96.8374370000001 3.591599
2455983.62484672 99.1899730000005 3.171817
2456022.66585141 94.8428860000004 3.177581
2456071.54094107 105.41322 3.34421
2456075.63430732 100.531086 3.559879
2456110.51021031 87.6903910000001 3.466909
2456115.50244014 88.3755369999999 3.137144
2456123.45763937 90.3396590000002 4.409879
2456354.69363322 105.678601000001 3.87874
2456357.84141601 86.7556110000005 4.390888
2456373.59277456 99.2800360000001 4.008769
2456377.67625902 82.3395450000007 4.258083
2456403.74258869 92.5674349999999 3.524372
2456646.80290932 84.0624459999999 3.163722
2456743.65435626 78.9543370000001 5.459703
