BJD RV eRV
2452680.79297519 0 4.03929
2452680.80650608 -2.12649099999999 4.183259
2452777.62628915 -13.6140310000001 5.109591
2452784.54572983 -17.0535289999998 3.926037
2452788.53817756 -34.1085080000003 4.56375
2452789.52498386 -18.5290459999997 4.573244
2452789.53851284 -28.4347619999999 4.408655
2453096.64518467 -21.8419199999998 4.719418
2453461.73370318 -41.7692099999995 4.291371
2453803.79022765 -34.6132019999995 4.180887
2453826.67279702 -37.9941369999997 7.290466
2453909.49385175 -53.8029280000001 4.377487
2454158.71550786 -52.2595700000002 4.137216
