TBJD PDCSAP ePDCSAP
1.325296291419735780e+03 2.991004375000000000e+05 6.070173263549804688e+01
1.325297680280763643e+03 2.989748437500000000e+05 6.068476867675781250e+01
1.325299069141732389e+03 2.989077812500000000e+05 6.068080139160156250e+01
1.325300458002760706e+03 2.989279375000000000e+05 6.067901992797851562e+01
1.325301846863788569e+03 2.989641562500000000e+05 6.068247604370117188e+01
1.325303235724815522e+03 2.991326875000000000e+05 6.069477844238281250e+01
1.325304624585843840e+03 2.990763125000000000e+05 6.068989562988281250e+01
1.325306013446871702e+03 2.990503125000000000e+05 6.068686676025390625e+01
1.325307402307899110e+03 2.990519062500000000e+05 6.068971252441406250e+01
1.325308791168985636e+03 2.990005937500000000e+05 6.068574905395507812e+01
1.325310180030012816e+03 2.989076562500000000e+05 6.067401504516601562e+01
1.325311568891098659e+03 2.989203437500000000e+05 6.067452621459960938e+01
1.325312957752185184e+03 2.990335937500000000e+05 6.068857574462890625e+01
1.325314346613271255e+03 2.989430000000000000e+05 6.067749786376953125e+01
1.325315735474356870e+03 2.990993750000000000e+05 6.069804382324218750e+01
1.325317124335442941e+03 2.991265000000000000e+05 6.069811248779296875e+01
1.325318513196529466e+03 2.990627187500000000e+05 6.069107818603515625e+01
1.325319902057673744e+03 2.990491250000000000e+05 6.069144439697265625e+01
1.325321290918817112e+03 2.990434062500000000e+05 6.069033813476562500e+01
1.325322679779903638e+03 2.990098125000000000e+05 6.068068313598632812e+01
1.325324068641047916e+03 2.990745312500000000e+05 6.068709182739257812e+01
1.325325457502191284e+03 2.990902812500000000e+05 6.068770980834960938e+01
1.325326846363336017e+03 2.990747812500000000e+05 6.069493484497070312e+01
1.325328235224538048e+03 2.989336250000000000e+05 6.068248367309570312e+01
1.325329624085681644e+03 2.990117187500000000e+05 6.068872070312500000e+01
1.325331012946884812e+03 2.990898125000000000e+05 6.069622039794921875e+01
1.325332401808029545e+03 2.990724687500000000e+05 6.070127487182617188e+01
1.325333790669231576e+03 2.990718750000000000e+05 6.069823837280273438e+01
1.325335179530434061e+03 2.991209687500000000e+05 6.070254135131835938e+01
1.325336568391636547e+03 2.990470000000000000e+05 6.069224548339843750e+01
1.325337957252896786e+03 2.990863750000000000e+05 6.069810485839843750e+01
1.325339346114099271e+03 2.989268125000000000e+05 6.068460083007812500e+01
1.325340734975301302e+03 2.989588750000000000e+05 6.068849945068359375e+01
1.325342123836561996e+03 2.990983750000000000e+05 6.069927215576171875e+01
1.325343512697822689e+03 2.990800625000000000e+05 6.069615936279296875e+01
1.325344901559083837e+03 2.990693750000000000e+05 6.069804000854492188e+01
1.325346290420344985e+03 2.989877187500000000e+05 6.069273376464843750e+01
1.325347679281604769e+03 2.990210312500000000e+05 6.069356155395507812e+01
1.325349068142865463e+03 2.990004062500000000e+05 6.069495773315429688e+01
1.325350457004126611e+03 2.989786562500000000e+05 6.069165420532226562e+01
1.325351845865444602e+03 2.990145000000000000e+05 6.069366073608398438e+01
1.325353234726763048e+03 2.990107812500000000e+05 6.069835281372070312e+01
1.325354623588024424e+03 2.992336250000000000e+05 6.071696853637695312e+01
1.325356012449343098e+03 2.990260312500000000e+05 6.070378875732421875e+01
1.325357401310661999e+03 2.990991250000000000e+05 6.071102142333984375e+01
1.325358790171980445e+03 2.991048125000000000e+05 6.070837783813476562e+01
1.325360179033357554e+03 2.990176250000000000e+05 6.070035552978515625e+01
1.325361567894676455e+03 2.990254687500000000e+05 6.070529937744140625e+01
1.325362956756053109e+03 2.991554375000000000e+05 6.071823120117187500e+01
1.325364345617372464e+03 2.990065312500000000e+05 6.070613479614257812e+01
1.325365734478749573e+03 2.990945625000000000e+05 6.071414566040039062e+01
1.325367123340126454e+03 2.990390000000000000e+05 6.070697402954101562e+01
1.325368512201504245e+03 2.990549375000000000e+05 6.070503616333007812e+01
1.325369901062880444e+03 2.990305000000000000e+05 6.070708084106445312e+01
1.325371289924315306e+03 2.991120000000000000e+05 6.070796966552734375e+01
1.325372678785693097e+03 2.990336562500000000e+05 6.069979095458984375e+01
1.325374067647127731e+03 2.990484062500000000e+05 6.070952606201171875e+01
1.325375456508504385e+03 2.991372812500000000e+05 6.071484375000000000e+01
1.325376845369940156e+03 2.991416875000000000e+05 6.071404266357421875e+01
1.325378234231375473e+03 2.989500937500000000e+05 6.069947433471679688e+01
1.325379623092810562e+03 2.990151250000000000e+05 6.070753860473632812e+01
1.325381011954245650e+03 2.990635625000000000e+05 6.070682907104492188e+01
1.325382400815739629e+03 2.990922500000000000e+05 6.070962905883789062e+01
1.325383789677174946e+03 2.990874062500000000e+05 6.071951675415039062e+01
1.325385178538667560e+03 2.991023437500000000e+05 6.072428131103515625e+01
1.325386567400103331e+03 2.989300625000000000e+05 6.070610427856445312e+01
1.325387956261596855e+03 2.990670937500000000e+05 6.071547698974609375e+01
1.325389345123089925e+03 2.991372500000000000e+05 6.073574447631835938e+01
1.325390733984583903e+03 2.990295000000000000e+05 6.071805572509765625e+01
1.325392122846076745e+03 2.990305312500000000e+05 6.071629333496093750e+01
1.325393511707628249e+03 2.990674375000000000e+05 6.072823715209960938e+01
1.325394900569122228e+03 2.990434062500000000e+05 6.071660614013671875e+01
1.325396289430673050e+03 2.990105625000000000e+05 6.071575927734375000e+01
1.325397678292166574e+03 2.990205625000000000e+05 6.072386169433593750e+01
1.325399067153718761e+03 2.991064687500000000e+05 6.072707748413085938e+01
1.325400456015270493e+03 2.989967500000000000e+05 6.070960617065429688e+01
1.325401844876821770e+03 2.991175625000000000e+05 6.073229217529296875e+01
1.325403233738373501e+03 2.990258750000000000e+05 6.072266006469726562e+01
