BJD RV eRV
2457186.791639 0 30.42
2457194.736148 13.7700000000009 40.93
2457211.722549 -204.509999999999 61
2457256.542816 -148.919999999997 44.25
2457271.550777 -321.999999999996 42.07
2457294.561176 -228.519999999996 31.98
2457324.515825 -166.419999999995 51.12
2457584.816334 -588.6 94.27
2457595.70071 -609.949999999998 57.7
2457650.537435 -511.139999999997 21.71
2457652.595356 -627.62 17.54
2457661.566328 -508.049999999997 19.48
2457680.545006 -569.589999999998 44.49
2457682.504365 -651.519999999998 27
