BJD RV eRV
2451101.02615 -93.77 2.98
2451102.0229 -72.82 3.11
2451131.9209 -71.49 3.47
2451132.92871 -47.95 4.21
2451154.80859 -146.91 4.95
2451173.91548 -81.36 5.39
2451174.86777 -52.63 4.4
2451175.92104 -41.33 3.52
2451206.80469 -78.45 5.67
2451212.78613 -153.94 5.35
2451213.78613 -138.84 5.27
2451454.02144 -138.68 2.55
2451455.03097 -132.06 4.23
2451468.04981 -140.54 4.79
2451468.96289 -122.92 4.25
2451482.98184 -123.36 3.35
2451496.92999 -129.08 4.47
2451532.85145 -24.46 2.89
2451533.86138 -16.23 2.32
2451534.89846 -15.16 3.17
2451535.88147 -22.45 3.02
2451536.82812 -63.95 3.63
2451539.93164 -113.09 4.02
2451543.79102 -48.55 4.7
2451546.83203 -14.51 4.86
2451571.75293 -84.78 5.14
2451572.6543 -61.63 3.5
2451573.71443 -48.66 7.07
2451581.69129 -112.13 3.75
2451593.79785 -27.17 3.91
2451607.73248 -6.47 3.57
2451629.65527 -37.03 3.64
2451815.02148 14.92 3.91
2451817.02108 50.29 3.09
2451823.02416 35.67 2.67
2451824.02441 -6.28 3.28
2451825.03223 -27.25 3.54
2451826.02338 -23.98 2.97
2451827.01281 -27.2 3.79
2451831.01927 55.39 2.65
2451832.00807 75.18 2.48
2451834.96496 96.25 2.47
2451837.01465 54.05 3.92
2451838.03418 15.16 3.43
2451840.01562 -22.23 4.13
2451841.97685 -4.75 2.91
2451859.95996 71.18 3.58
2451860.92285 82.21 3.52
2451866.03465 69.79 3.9
2451868.98373 9.72 3.16
2451874.91046 74.52 2.91
2451875.95019 104.55 7.72
2451879.91405 85.25 4.06
2451880.95782 55.14 3.33
2451894.90332 45.64 4.83
2451905.86919 130.89 2.88
2451906.84212 135.29 2.81
2451907.84592 118.01 3.6
2451913.80236 42.64 2.27
2451914.85361 72.02 2.35
2451915.81401 80.95 2.33
2451927.81437 49.8 2.52
2451945.73774 108.2 2.12
2451946.70493 128.17 2.2
2452162.01434 250.05 3.41
2452262.92747 250.94 3.14
2452278.87533 284.62 3.86
2452279.76013 272.06 2.97
2452281.88192 203.08 4.58
2452285.86542 185.54 3.37
2452287.80331 222.42 4.18
2452292.83255 253.15 3.8
2452293.80714 249.68 3.13
2452294.8009 213.59 3.99
2452306.6752 251.33 2.93
2452314.71797 162.34 3.12
2452315.71222 177.56 2.27
2452333.68457 220.18 3.68
2452334.65332 231.6 3.6
