BJD RV eRV
2456989.740666 0 25.09
2457001.640882 384.45 23
2457003.640065 -196.17 19.37
2457004.682396 323.29 22.63
2457012.592977 162.94 25.66
2457027.631091 199.46 35.74
2457063.528866 -103.64 51.81
2457065.534295 176.5 33.02
2457192.938473 78.4100000000003 37.67
2457205.925822 -46.3799999999996 46.49
2457261.823294 -219.8 41.84
2457341.740033 31.3600000000003 56.6
2457362.678177 426.57 18.5
2457367.607494 -246.84 26.72
2457381.547386 -0.939999999999941 24.86
2457389.610441 304.09 29.88
2457413.58192 -173.87 32.88
2457587.836041 391.77 28.14
2457616.796911 137.02 20.24
2457681.574518 -104.569999999999 31.58
2457689.706629 201.06 21.08
2457691.675531 -211.59 17.65
2457711.743027 -261.8 35.98
2457713.676572 359.41 20.72
2457713.698411 371.76 23.73
