BJD RV eRV
2453581.903 0 9.3
2453606.847 -43.3 8.7
2453653.913 -71.7 7.9
2453663.692 -66.1 8.9
2453665.676 -73.8 8.4
2453681.835 -89.9 8.4
2453681.838 -89.7 8.6
2453690.817 -82.7 10.3
2453694.601 -100 10
2453696.799 -95.6 9.2
2453701.77 -105 10.4
2453703.792 -93 10
2453923.951 -88.1 8.3
2453954.878 -69.5 8.5
2453956.87 -69.6 8.8
2453958.88 -68.9 9
2453969.831 -92.2 9.4
2453971.837 -84 8.8
2453984.799 -56.7 8.3
2453988.809 -48.6 8.5
2453990.987 -59.6 9.1
2453999.746 -51 7.8
2454041.641 -32.6 8.3
2454042.659 -32.8 8.4
2454049.624 -41.7 8.7
2454056.634 -26 10.6
2454069.569 -7.6 9.7
2454071.579 -15.7 9.8
2454105.67 11.2 8.9
2454108.671 1.1 9.2
2454130.608 19.6 10.4
2454135.604 37.7 10.3
2454330.865 108.2 8.7
2454344.81 86 8.8
2454346.8 101.9 8.4
2454352.786 114.2 9.3
2454357.772 91.8 8.2
2454366.751 96.8 9.1
2454419.835 95.5 11.5
2454424.594 99.2 9.1
