TBJD PDCSAP ePDCSAP
1.764689907418395478e+03 8.923822500000000000e+05 1.037053604125976562e+02
1.764691296353713369e+03 8.922379375000000000e+05 1.037072296142578125e+02
1.764692685289496694e+03 8.923948750000000000e+05 1.037104644775390625e+02
1.764694074224815040e+03 8.920745625000000000e+05 1.036823196411132812e+02
1.764695463160133613e+03 8.923099375000000000e+05 1.037020492553710938e+02
1.764696852095451277e+03 8.921563125000000000e+05 1.036874465942382812e+02
1.764698241031234602e+03 8.921930000000000000e+05 1.036984024047851562e+02
1.764699629966552493e+03 8.921880625000000000e+05 1.036985549926757812e+02
1.764701018901870157e+03 8.922689375000000000e+05 1.036949691772460938e+02
1.764702407837188048e+03 8.923214375000000000e+05 1.037069702148437500e+02
1.764703796772505711e+03 8.925497500000000000e+05 1.037131500244140625e+02
1.764705185707824057e+03 8.921086875000000000e+05 1.036838760375976562e+02
1.764706574643142403e+03 8.926509375000000000e+05 1.037189941406250000e+02
1.764707963578460294e+03 8.923897500000000000e+05 1.037013473510742188e+02
1.764709352513777958e+03 8.921385625000000000e+05 1.036963653564453125e+02
1.764710741449095849e+03 8.920994375000000000e+05 1.036969223022460938e+02
1.764712130384413513e+03 8.920558750000000000e+05 1.036994705200195312e+02
1.764713519319731176e+03 8.920378125000000000e+05 1.036796798706054688e+02
1.764714908255048840e+03 8.922500000000000000e+05 1.037075271606445312e+02
1.764716297189900843e+03 8.922225000000000000e+05 1.036978912353515625e+02
1.764717686125219416e+03 8.924718125000000000e+05 1.037065811157226562e+02
1.764719075060537762e+03 8.923630625000000000e+05 1.036949615478515625e+02
1.764720463995390446e+03 8.919835625000000000e+05 1.036897811889648438e+02
1.764721852930709019e+03 8.922565625000000000e+05 1.037014846801757812e+02
1.764723241866026683e+03 8.922775000000000000e+05 1.037187957763671875e+02
1.764724630800878685e+03 8.921040625000000000e+05 1.037023391723632812e+02
1.764726019736196577e+03 8.920735000000000000e+05 1.036841506958007812e+02
1.764727408671048579e+03 8.923187500000000000e+05 1.037126159667968750e+02
1.764728797606366925e+03 8.922068125000000000e+05 1.037020111083984375e+02
1.764730186541219837e+03 8.919565625000000000e+05 1.037010955810546875e+02
1.764731575476071839e+03 8.920134375000000000e+05 1.036961135864257812e+02
1.764732964411389503e+03 8.921807500000000000e+05 1.037021102905273438e+02
1.764734353346241733e+03 8.922264375000000000e+05 1.037023773193359375e+02
1.764735742281093735e+03 8.919443750000000000e+05 1.037025604248046875e+02
1.764737131215945965e+03 8.924157500000000000e+05 1.037094955444335938e+02
1.764738520151263629e+03 8.918113750000000000e+05 1.036815719604492188e+02
1.764739909086116313e+03 8.921126250000000000e+05 1.036989593505859375e+02
1.764741298020968998e+03 8.922740000000000000e+05 1.037048416137695312e+02
1.764742686955821227e+03 8.921531250000000000e+05 1.036739654541015625e+02
1.764744075890673230e+03 8.923211250000000000e+05 1.037009124755859375e+02
1.764745464825525232e+03 8.922286875000000000e+05 1.037019577026367188e+02
1.764746853760377462e+03 8.922321250000000000e+05 1.037098083496093750e+02
1.764748242695229465e+03 8.921505000000000000e+05 1.037029647827148438e+02
1.764749631630081467e+03 8.919485000000000000e+05 1.036907043457031250e+02
1.764751020564468718e+03 8.923181875000000000e+05 1.036985473632812500e+02
1.764752409499321402e+03 8.922703125000000000e+05 1.036795349121093750e+02
1.764753798434173405e+03 8.922390000000000000e+05 1.037112731933593750e+02
1.764755187369025634e+03 8.920133125000000000e+05 1.036936111450195312e+02
1.764756576303877637e+03 8.922650000000000000e+05 1.037049484252929688e+02
1.764757965238263978e+03 8.919214375000000000e+05 1.036935653686523438e+02
1.764759354173115980e+03 8.922065000000000000e+05 1.037054595947265625e+02
1.764760743107502549e+03 8.922223750000000000e+05 1.036754074096679688e+02
1.764762132042355233e+03 8.919914375000000000e+05 1.036897583007812500e+02
1.764763520977208145e+03 8.921109375000000000e+05 1.037211380004882812e+02
1.764764909911594486e+03 8.920186875000000000e+05 1.036816635131835938e+02
1.764766298846446489e+03 8.918653125000000000e+05 1.037032928466796875e+02
1.764767687780832830e+03 8.920555000000000000e+05 1.037099685668945312e+02
1.764769076715219398e+03 8.921470000000000000e+05 1.037091064453125000e+02
1.764770465650071401e+03 8.921128125000000000e+05 1.036957397460937500e+02
1.764771854584457742e+03 8.918706875000000000e+05 1.036966476440429688e+02
1.764773243518844311e+03 8.916511875000000000e+05 1.036844711303710938e+02
1.764774632453696995e+03 8.920883750000000000e+05 1.036713790893554688e+02
1.764776021388084018e+03 8.918411875000000000e+05 1.036910171508789062e+02
1.764777410322470359e+03 8.919841875000000000e+05 1.037043075561523438e+02
1.764778799256856928e+03 8.921136250000000000e+05 1.037062759399414062e+02
1.764780188191243269e+03 8.920827500000000000e+05 1.036815261840820312e+02
1.764781577125629838e+03 8.919720625000000000e+05 1.036797637939453125e+02
1.764782966060016179e+03 8.920097500000000000e+05 1.036677780151367188e+02
1.764784354994402520e+03 8.917846875000000000e+05 1.036979827880859375e+02
1.764785743928789771e+03 8.919495625000000000e+05 1.036737518310546875e+02
1.764787132863176794e+03 8.918276250000000000e+05 1.036786041259765625e+02
1.764788521797563135e+03 8.921673125000000000e+05 1.036718521118164062e+02
1.764789910731949703e+03 8.920250625000000000e+05 1.037002792358398438e+02
1.764791299666336045e+03 8.919694375000000000e+05 1.036839752197265625e+02
1.764792688600722386e+03 8.917400625000000000e+05 1.036296463012695312e+02
1.764794077534643066e+03 8.922731250000000000e+05 1.036993255615234375e+02
1.764795466469029634e+03 8.920102500000000000e+05 1.036884460449218750e+02
1.764796855403416657e+03 8.919738125000000000e+05 1.036847534179687500e+02
1.764798244337803908e+03 8.921225625000000000e+05 1.036807098388671875e+02
1.764799633271724588e+03 8.921510000000000000e+05 1.036890106201171875e+02
1.764801022206110929e+03 8.920131250000000000e+05 1.036862335205078125e+02
1.764802411140031609e+03 8.920903750000000000e+05 1.037013168334960938e+02
1.764803800074417950e+03 8.924589375000000000e+05 1.036648101806640625e+02
1.764805189008338857e+03 8.921505625000000000e+05 1.036661453247070312e+02
1.764806577942725198e+03 8.921366250000000000e+05 1.036949615478515625e+02
1.764807966876646560e+03 8.921425000000000000e+05 1.037008895874023438e+02
1.764809355811033811e+03 8.919939375000000000e+05 1.036944885253906250e+02
1.764810744744954491e+03 8.922570625000000000e+05 1.037006835937500000e+02
1.764812133678875171e+03 8.921924375000000000e+05 1.037071762084960938e+02
1.764813522613261739e+03 8.918343125000000000e+05 1.036835937500000000e+02
1.764814911547182419e+03 8.920544375000000000e+05 1.036935958862304688e+02
1.764816300481103326e+03 8.919851250000000000e+05 1.036854248046875000e+02
1.764817689415024006e+03 8.923616875000000000e+05 1.037055740356445312e+02
1.764819078348944686e+03 8.921822500000000000e+05 1.036780471801757812e+02
1.764820467282866275e+03 8.919970000000000000e+05 1.036877746582031250e+02
1.764821856217253981e+03 8.920981250000000000e+05 1.037038497924804688e+02
1.764823245151175342e+03 8.923843125000000000e+05 1.037243347167968750e+02
1.764824634085096250e+03 8.918376875000000000e+05 1.036884155273437500e+02
1.764826023019016930e+03 8.920220625000000000e+05 1.037068176269531250e+02
1.764827411952937609e+03 8.916915625000000000e+05 1.036845397949218750e+02
1.764828800886392628e+03 8.923688750000000000e+05 1.036887969970703125e+02
1.764830189820313535e+03 8.918851875000000000e+05 1.036896133422851562e+02
1.764831578754234897e+03 8.921148125000000000e+05 1.036897201538085938e+02
1.764832967688156486e+03 8.919715625000000000e+05 1.036800003051757812e+02
1.764834356622077166e+03 8.919150000000000000e+05 1.036944885253906250e+02
1.764835745555997846e+03 8.921310625000000000e+05 1.036569137573242188e+02
1.764837134489452865e+03 8.920913125000000000e+05 1.036765060424804688e+02
1.764838523423373545e+03 8.918924375000000000e+05 1.036595687866210938e+02
1.764839912357294452e+03 8.921476250000000000e+05 1.036727447509765625e+02
1.764841301290749470e+03 8.920978125000000000e+05 1.036990661621093750e+02
1.764842690224670832e+03 8.920380625000000000e+05 1.036843032836914062e+02
1.764844079158126760e+03 8.918682500000000000e+05 1.036518478393554688e+02
1.764845468092047440e+03 8.920041875000000000e+05 1.036974334716796875e+02
1.764846857025502459e+03 8.921956250000000000e+05 1.037094879150390625e+02
1.764848245959423366e+03 8.922743125000000000e+05 1.036949310302734375e+02
1.764849634892878385e+03 8.920267500000000000e+05 1.036955108642578125e+02
1.764851023826799292e+03 8.919803750000000000e+05 1.037011337280273438e+02
1.764852412760254310e+03 8.920179375000000000e+05 1.036768112182617188e+02
1.764853801693710011e+03 8.921650625000000000e+05 1.037132415771484375e+02
1.764855190627631373e+03 8.920078125000000000e+05 1.037024078369140625e+02
1.764856579561086619e+03 8.923034375000000000e+05 1.036836395263671875e+02
1.764857968494541637e+03 8.920167500000000000e+05 1.036501388549804688e+02
1.764859357427996883e+03 8.921808125000000000e+05 1.036887817382812500e+02
1.764860746361451902e+03 8.921325625000000000e+05 1.037025451660156250e+02
1.764862135294906921e+03 8.920275000000000000e+05 1.036757965087890625e+02
1.764863524228827600e+03 8.922563750000000000e+05 1.037092742919921875e+02
1.764864913162282619e+03 8.922956250000000000e+05 1.037151260375976562e+02
1.764866302095738547e+03 8.922723750000000000e+05 1.036933898925781250e+02
1.764867691029194248e+03 8.919518750000000000e+05 1.036881866455078125e+02
1.764869079962649494e+03 8.921301250000000000e+05 1.037005386352539062e+02
1.764870468896104512e+03 8.922060625000000000e+05 1.037076187133789062e+02
1.764871857829093869e+03 8.921312500000000000e+05 1.036967849731445312e+02
1.764873246762548888e+03 8.922325000000000000e+05 1.037244415283203125e+02
1.764874635696004134e+03 8.920598750000000000e+05 1.037005004882812500e+02
1.764876024629459152e+03 8.921583125000000000e+05 1.036854476928710938e+02
1.764877413562914853e+03 8.920811250000000000e+05 1.036851043701171875e+02
1.764878802495905120e+03 8.921609375000000000e+05 1.037009201049804688e+02
1.764880191429360138e+03 8.918730000000000000e+05 1.036772460937500000e+02
1.764881580362815157e+03 8.920675625000000000e+05 1.036892776489257812e+02
1.764882969295804742e+03 8.918868125000000000e+05 1.036738815307617188e+02
1.764884358229259760e+03 8.921746875000000000e+05 1.036739501953125000e+02
1.764885747162714779e+03 8.921492500000000000e+05 1.036569290161132812e+02
1.764887136095704363e+03 8.918033125000000000e+05 1.036428222656250000e+02
1.764888525029160064e+03 8.920920625000000000e+05 1.037016983032226562e+02
1.764889913962150104e+03 8.917529375000000000e+05 1.036648025512695312e+02
1.764891302895605122e+03 8.923176875000000000e+05 1.036884994506835938e+02
1.764892691828594707e+03 8.920608750000000000e+05 1.037061462402343750e+02
1.764894080761584064e+03 8.923993125000000000e+05 1.036933593750000000e+02
1.764895469695039310e+03 8.921670000000000000e+05 1.036759948730468750e+02
1.764896858628028667e+03 8.926179375000000000e+05 1.037208251953125000e+02
1.764898247561018024e+03 8.922328125000000000e+05 1.036856307983398438e+02
1.764899636494473953e+03 8.919004375000000000e+05 1.036891250610351562e+02
1.764901025427463992e+03 8.921106875000000000e+05 1.037025299072265625e+02
1.764902414360453349e+03 8.919704375000000000e+05 1.036748428344726562e+02
1.764903803293442934e+03 8.921796875000000000e+05 1.036997909545898438e+02
1.764905192226432291e+03 8.919658125000000000e+05 1.036971511840820312e+02
1.764906581159421648e+03 8.923563125000000000e+05 1.037146453857421875e+02
1.764907970092411006e+03 8.918751875000000000e+05 1.036872558593750000e+02
1.764909359025866252e+03 8.918946250000000000e+05 1.037019577026367188e+02
1.764910747958855609e+03 8.919746875000000000e+05 1.036835632324218750e+02
1.764912136891379987e+03 8.920992500000000000e+05 1.037193145751953125e+02
